filepath,pii_types_found
EclipseDataSpaceConnector/core/control-plane/transfer-core/src/main/java/org/eclipse/edc/connector/transfer/provision/ResourceManifestGeneratorImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/transfer-core/src/test/java/org/eclipse/edc/connector/transfer/process/TransferProcessManagerImplIntegrationTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/transfer-core/src/test/java/org/eclipse/edc/connector/transfer/provision/ProvisionManagerImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/data-plane-selector/data-plane-selector-core/src/test/java/org/eclipse/edc/connector/dataplane/selector/service/EmbeddedDataPlaneSelectorServiceTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/data-plane/data-plane-core/src/main/java/org/eclipse/edc/connector/dataplane/framework/manager/DataPlaneManagerImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/data-plane/data-plane-core/src/test/java/org/eclipse/edc/connector/dataplane/framework/manager/DataPlaneManagerImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/data-plane/data-plane-core/src/test/java/org/eclipse/edc/connector/dataplane/framework/pipeline/PipelineServiceImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/data-plane/data-plane-util/src/main/java/org/eclipse/edc/connector/dataplane/util/sink/AsyncStreamingDataSink.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/data-plane/data-plane-util/src/main/java/org/eclipse/edc/connector/dataplane/util/sink/OutputStreamDataSink.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/data-plane/data-plane-util/src/main/java/org/eclipse/edc/connector/dataplane/util/sink/ParallelSink.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/data-plane/data-plane-util/src/test/java/org/eclipse/edc/connector/dataplane/util/sink/OutputStreamDataSinkFactoryTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/data-plane/data-plane-util/src/test/java/org/eclipse/edc/connector/dataplane/util/sink/OutputStreamDataSinkTest.java,[IP_ADDRESS_6A]
